|g|,|t|,|p|,worst_case,|s|_worst,median,|s|_median
102517,40011,4083,11.500000,268923.000000,5.000000,17.000000
129140,40012,8178,11.300000,268927.000000,4.500000,19.900000
62517,20011,4083,4.800000,128923.000000,2.100000,19.900000
169140,60012,8178,16.800000,408927.000000,5.600000,16.200000
209140,80012,8178,21.200000,548927.000000,7.200000,17.700000
222517,100011,4083,25.100000,688923.000000,10.000000,16.100000
182517,80011,4083,19.500000,548923.000000,7.300000,17.300000
142517,60011,4083,14.900000,408923.000000,5.300000,15.600000
89140,20012,8178,6.600000,128927.000000,1.700000,18.400000
